frame_id,car,truck,bus,bike,motor,rider,person,train,pcu_score,congestion_pct,level
003206,10,0,0,0,0,0,2,0,10.2,51.0,MODERATE
007404,12,0,0,0,0,0,0,0,12.0,60.0,HEAVY
005120,5,0,0,0,0,0,0,0,5.0,25.0,FREE_FLOW
001692,0,0,0,2,0,0,7,0,1.7,8.5,FREE_FLOW
000354,5,0,0,1,0,0,0,0,5.5,27.5,FREE_FLOW
006415,1,1,0,2,0,0,0,0,4.5,22.5,FREE_FLOW
003856,2,0,0,1,0,0,0,0,2.5,12.5,FREE_FLOW
007427,0,0,0,0,0,0,1,0,0.1,0.5,FREE_FLOW
005094,7,0,0,0,0,0,0,0,7.0,35.0,MODERATE
004854,0,0,0,0,0,0,1,0,0.1,0.5,FREE_FLOW
004992,16,0,0,0,0,0,0,0,16.0,80.0,HEAVY
002109,3,0,0,0,0,0,0,0,3.0,15.0,FREE_FLOW
004443,1,0,0,1,0,0,8,0,2.3,11.5,FREE_FLOW
000710,3,0,0,0,0,0,0,0,3.0,15.0,FREE_FLOW
000312,3,1,0,0,0,0,1,0,5.6,28.0,FREE_FLOW
007359,3,0,0,1,0,0,0,0,3.5,17.5,FREE_FLOW
006786,1,0,1,0,0,0,0,0,4.0,20.0,FREE_FLOW
000746,0,0,0,0,0,0,1,0,0.1,0.5,FREE_FLOW
001106,1,0,0,0,0,0,8,0,1.8,9.0,FREE_FLOW
005439,0,0,0,0,0,0,1,0,0.1,0.5,FREE_FLOW
004801,5,1,0,0,0,0,0,0,7.5,37.5,MODERATE
001566,2,0,0,1,0,0,0,0,2.5,12.5,FREE_FLOW
004201,1,0,0,0,0,0,0,0,1.0,5.0,FREE_FLOW
004067,6,0,1,0,0,0,0,0,9.0,45.0,MODERATE
003637,2,1,0,0,0,0,0,0,4.5,22.5,FREE_FLOW
004222,4,0,0,0,0,0,1,0,4.1,20.5,FREE_FLOW
000145,4,0,0,2,0,0,9,0,5.9,29.5,FREE_FLOW
002445,3,0,0,0,0,0,0,0,3.0,15.0,FREE_FLOW
006939,4,1,0,0,0,0,0,0,6.5,32.5,MODERATE
000531,13,1,0,0,0,0,0,0,15.5,77.5,HEAVY
005042,1,0,0,0,0,0,0,0,1.0,5.0,FREE_FLOW
003778,6,1,0,0,0,0,0,0,8.5,42.5,MODERATE
003215,5,0,0,0,0,0,0,0,5.0,25.0,FREE_FLOW
007425,2,0,0,0,0,0,0,0,2.0,10.0,FREE_FLOW
005128,6,0,0,0,0,0,0,0,6.0,30.0,MODERATE
003645,2,1,0,0,0,0,0,0,4.5,22.5,FREE_FLOW
006954,4,0,0,0,0,0,0,0,4.0,20.0,FREE_FLOW
002929,9,0,0,0,0,0,0,0,9.0,45.0,MODERATE
004786,0,0,0,3,0,0,7,0,2.2,11.0,FREE_FLOW
005897,4,0,0,0,0,0,0,0,4.0,20.0,FREE_FLOW
001098,1,0,0,0,0,0,0,0,1.0,5.0,FREE_FLOW
000043,0,0,0,0,0,0,4,0,0.4,2.0,FREE_FLOW
006319,4,0,0,0,0,0,0,0,4.0,20.0,FREE_FLOW
002500,1,0,0,0,0,0,0,0,1.0,5.0,FREE_FLOW
005038,9,0,0,0,0,0,0,0,9.0,45.0,MODERATE
006263,6,0,0,0,0,0,0,0,6.0,30.0,MODERATE
000850,8,0,0,0,0,0,0,0,8.0,40.0,MODERATE
005805,2,0,0,0,0,0,0,0,2.0,10.0,FREE_FLOW
002963,9,1,0,0,0,0,0,0,11.5,57.5,MODERATE
